Date,VN30F1M,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,MBB,MSN,MWG,NVL,PDR,PLX,POW,SAB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2023-02-16,1052.3,17.4,82.6,33.0,47.79,26.58,59.46,78.97,14.36,12.22,19.36,13.17,92.9,42.55,11.5,9.94,36.88,12.35,85.2,14.65,23.9,13.53,12.6,52.33,42.5,13.73,53.4,102.8,69.57,15.84,28.4
2023-02-17,1049.0,17.4,82.5,33.59,48.08,26.53,59.46,78.46,14.31,12.18,19.09,13.06,91.3,42.5,11.65,9.89,36.5,12.4,84.03,14.61,24.4,13.48,12.52,52.67,43.3,14.13,53.5,102.6,69.12,15.66,28.4
2023-02-20,1088.0,18.1,83.57,34.62,48.84,27.25,60.33,79.78,15.04,12.41,19.91,13.64,94.5,43.53,12.45,10.57,37.26,12.65,85.42,15.59,25.7,13.87,12.91,53.13,45.2,14.45,54.1,102.6,70.48,16.56,29.35
2023-02-21,1076.1,17.89,83.08,33.92,48.17,26.71,60.33,79.27,14.94,12.55,19.64,13.42,93.8,43.73,12.85,10.57,38.39,12.45,85.55,15.36,25.35,13.77,13.02,53.35,45.2,14.32,54.3,102.5,70.21,16.11,29.6
2023-02-22,1043.8,17.44,82.11,33.0,47.7,25.86,59.61,78.31,14.16,12.22,19.27,13.17,91.0,42.26,12.0,9.94,36.13,12.0,83.98,14.5,24.7,13.34,12.36,52.67,42.6,13.8,53.0,100.8,68.66,15.79,28.1
2023-02-23,1048.0,17.82,82.21,33.41,47.31,25.95,59.31,77.44,14.41,11.92,19.55,13.1,87.6,42.26,11.8,9.85,36.27,12.2,84.03,14.8,25.0,13.55,12.6,52.84,42.0,14.13,53.0,98.2,68.84,15.88,26.5
2023-02-24,1020.0,17.26,81.72,32.71,46.65,25.28,58.88,77.95,13.92,11.56,18.91,12.77,85.9,41.37,11.4,9.53,35.65,12.0,84.88,14.27,24.3,13.21,12.34,52.96,41.0,13.8,52.9,96.2,67.93,15.52,26.5
2023-02-27,1011.0,17.02,81.04,32.45,45.98,24.66,58.51,76.12,13.58,11.16,18.27,12.45,79.9,39.8,10.75,9.22,35.04,12.0,83.22,13.71,23.6,13.09,12.21,52.56,40.9,13.5,52.5,98.5,68.39,15.39,25.75
2023-02-28,1008.0,17.12,81.33,32.34,46.27,24.52,58.66,75.75,13.58,11.26,18.18,12.45,82.0,39.31,10.6,9.12,35.27,12.1,84.43,13.71,23.75,12.85,12.23,52.96,41.5,13.5,52.6,100.0,68.66,15.43,26.7
2023-03-01,1032.0,17.65,81.92,33.48,47.17,25.28,58.66,76.92,14.02,11.69,19.0,12.74,80.5,40.09,10.25,9.4,36.55,12.35,86.45,14.23,25.4,13.24,12.6,52.67,41.2,13.86,52.7,101.5,69.94,15.79,26.8
